ID,Elemento,Porcentaje,Tiempo_s,ObjFinal,DeteccionOK,PromDispersion,StdDispersion,MeanAbsDispersion,N_FalsosPositivos
368,41,40,17624.90023,1.07934300051206,TRUE,4.21000650388798,5.95303633006439,4.21000650388798,0
369,41,45,17664.5602333,1.07976783961964,TRUE,4.2215803875847,5.96342433218547,4.2215803875847,0
370,42,5,17700.3361826,1.05460392874069,TRUE,3.69362270485901,5.61617042330908,3.69362270485901,1
371,42,10,17735.9880616,1.05543795474125,TRUE,3.73823848817125,5.67310324645882,3.73823848817125,1
372,42,15,17782.1955261,1.05651944228751,TRUE,3.79461632336147,5.74434203556129,3.79461632336147,1
373,42,20,17826.5732543,1.05810894341273,TRUE,3.86968235772762,5.84130818818298,3.86968235772762,1
374,42,25,17878.183798,1.06053802370496,TRUE,3.98232102490174,5.97735233141223,3.98232102490174,1
375,42,30,17928.8211249,1.06365240123118,TRUE,4.11930997034519,6.13841147526613,4.11930997034519,1
376,42,35,17985.2211167,1.06450547328605,TRUE,4.15079032845569,6.17945505762055,4.15079032845569,1
377,42,40,18028.5272435,1.06499008839319,TRUE,4.17383715904543,6.20423470304564,4.17383715904543,1
378,42,45,18070.9955023,1.06549150883636,TRUE,4.19510817392798,6.2265789889326,4.19510817392798,1
379,43,5,18125.2012909,1.06272247209005,TRUE,3.88845071793833,5.52335867939288,3.88845071793833,1
380,43,10,18177.9081081,1.06435573047003,TRUE,3.91733115579349,5.567569029086,3.91733115579349,1
381,43,15,18226.2460866,1.06640719444801,TRUE,3.95574180546699,5.62155102954391,3.95574180546699,1
382,43,20,18286.7845529,1.06915903452701,TRUE,4.00651465759569,5.69353706119861,4.00651465759569,1
383,43,25,18335.647014,1.07304598038483,TRUE,4.08067209044632,5.79459482814065,4.08067209044632,1
384,43,30,18389.0703387,1.07764361825755,TRUE,4.17174014745764,5.9106973002974,4.17174014745764,1
385,43,35,18444.2217559,1.07870402902222,TRUE,4.19101885791486,5.93755193734722,4.19101885791486,1
386,43,40,18492.709595,1.0793260087647,TRUE,4.21362986378924,5.95367571539315,4.21362986378924,1
387,43,45,18541.9456238,1.07976602010689,TRUE,4.21967651125609,5.96360138250725,4.21967651125609,1
388,44,5,18581.3803611,1.05462042633426,TRUE,3.69351384416323,5.61696605951517,3.69351384416323,1
389,44,10,18624.8207062,1.05545392843972,TRUE,3.73896384677895,5.67335126653604,3.73896384677895,1
390,44,15,18672.4613799,1.05655685329928,TRUE,3.7971095916657,5.74560156891246,3.7971095916657,1
391,44,20,18724.2983294,1.05806328393332,TRUE,3.87138172773466,5.83972133369875,3.87138172773466,1
392,44,25,18778.8675703,1.06060153308482,TRUE,3.98951125766456,5.97936425313924,3.98951125766456,1
393,44,30,18828.4249015,1.0636499011676,TRUE,4.11649160967383,6.13871448704791,4.11649160967383,1
394,44,35,18885.0070087,1.06448274553966,TRUE,4.15454529750084,6.17884575618827,4.15454529750084,1
395,44,40,18922.0163422,1.06497998994094,TRUE,4.17362744166953,6.20391145690643,4.17362744166953,1
396,44,45,18965.5033011,1.06554486529499,TRUE,4.19759709477634,6.22790679327549,4.19759709477634,1
397,45,5,19009.1345124,1.95619099132937,FALSE,29.0569704055438,9.03076022661811,29.0569704055438,7
398,45,10,19058.2191964,1.95511543561196,FALSE,27.8220862931322,11.5396190137349,27.8220862931322,6
399,45,15,19108.2662888,1.95519766866199,FALSE,28.407633357193,11.4785186803195,28.407633357193,4
400,45,20,19155.8269307,1.95588802428696,FALSE,28.5376525712633,10.9216344378297,28.5376525712633,4
401,45,25,19203.1550944,1.95791854523828,FALSE,27.8558771601605,8.94393026403543,27.8558771601605,6
402,45,30,19238.3674643,1.95935802410175,FALSE,29.2242844170074,8.43536076245961,29.2242844170074,6
403,45,35,19285.8037443,1.95889459831319,FALSE,31.2814462405091,7.1239652495266,31.2814462405091,6
